Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.545,1.727,Hai phương pháp gần nhau.
cross-doc,Faithfulness,1.727,1.909,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,1.545,1.727,Hai phương pháp gần nhau.
cross-doc,Latency (s),1.221,1.37,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,596.0,477.0,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,1.5,1.5,Hai phương pháp gần nhau.
factoid,Faithfulness,1.5,1.5,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,1.5,1.5,Hai phương pháp gần nhau.
factoid,Latency (s),0.866,0.923,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,572.0,453.5,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,1.75,1.75,Hai phương pháp gần nhau.
multi-hop,Faithfulness,2.0,1.833,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,1.75,1.667,Hai phương pháp gần nhau.
multi-hop,Latency (s),1.997,1.975,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,671.75,632.917,GraphRAG không đắt hơn trong sample này.
